Mask Name,OBJID,Velocity (km/s),Mask Name(Check),OBJID(Check),HI,CO,RA,Dec
M33D4C,31267,-108.0,M33D4C,31267,-95.32701070622274,,23.270916666666665,30.202472222222223
M33D4C,38653,-126.0,M33D4C,38653,-99.79233443080045,,23.23583333333333,30.21136111111111
M33D4C,42386,-114.0,M33D4C,42386,-297.8338114872647,,23.242041666666662,30.21622222222222
M33D4C,43059,-120.0,M33D4C,43059,-187.02465396932632,,23.24716666666666,30.21747222222222
M33D4C,114695,-147.0,M33D4C,114695,-117.68647090484649,,23.44483333333333,30.29588888888889
M33D4C,131364,-114.0,M33D4C,131364,-121.2824187178581,,23.459999999999997,30.323416666666667
M33D4C,137313,-138.0,M33D4C,137313,-113.82834681822418,,23.451874999999998,30.329472222222222
M33D4C,139797,-141.0,M33D4C,139797,-114.45445294344466,,23.466791666666666,30.333972222222222
M33D4C,142035,-144.0,M33D4C,142035,-112.17212724331682,,23.454166666666662,30.33822222222222
M33D4C,142234,-138.0,M33D4C,142234,-108.90938407294037,,23.448166666666665,30.338666666666665
M33D4C,143683,-150.0,M33D4C,143683,-113.45916524598331,,23.456291666666665,30.341027777777775
M33D4C,144339,-150.0,M33D4C,144339,-115.16068041742578,,23.465999999999998,30.33888888888889
M33D4C,144637,-150.0,M33D4C,144637,-126.0900399468454,,23.458791666666663,30.341749999999998
M33MA1,297692,-179.99999999999997,M33MA1,297692,-173.30706765499463,,23.74220833333333,30.51638888888889
M33MA1,300427,-126.0,M33MA1,300427,-168.54344173138878,,23.67279166666666,30.518361111111112
M33MA2,249868,-177.0,M33MA2,249868,-170.00183088990377,,23.67945833333333,30.466527777777777
M33MA2,255516,-171.0,M33MA2,255516,-168.20445164272834,,23.70658333333333,30.471944444444443
M33MA2,262011,-167.99999999999997,M33MA2,262011,-170.03656119258142,,23.700291666666665,30.477777777777778
A1M33P,AGB_268622,-171.0,A1M33P,AGB_268622,-186.49826590381824,,23.567541666666664,30.589055555555554
A1M33P,RHeB_b_328061,-162.0,A1M33P,RHeB_b_328061,-175.51717184444524,-180.71317184444524,23.579041666666665,30.574666666666666
